DependencyName,DependencyPath,Description,License,Md5,Sha1,Identifiers,CPE,CVE,CWE,Vulnerability,Source,CVSSv2_Severity,CVSSv2_Score,CVSSv2,CVSSv3_BaseSeverity,CVSSv3_BaseScore,CVSSv3,CVSSv4_BaseSeverity,CVSSv4_BaseScore,CVSSv4,CPE Confidence,Evidence Count,VendorProject,Product,Name,DateAdded,ShortDescription,RequiredAction,DueDate,Notes
commons-io-2.8.0.jar,/home/runner/.m2/repository/commons-io/commons-io/2.8.0/commons-io-2.8.0.jar,"The Apache Commons IO library contains utility classes, stream implementations, file filters, file comparators, endian transformation classes, and much more.",https://www.apache.org/licenses/LICENSE-2.0.txt,21ba575792e2694c39af13918a80550b,92999e26e6534606b5678014e66948286298a35c,pkg:maven/commons-io/commons-io@2.8.0,cpe:2.3:a:apache:commons_io:2.8.0:*:*:*:*:*:*:*,CVE-2024-47554,CWE-400 Uncontrolled Resource Consumption,"Uncontrolled Resource Consumption vulnerability in Apache Commons IO.  The org.apache.commons.io.input.XmlStreamReader class may excessively consume CPU resources when processing maliciously crafted input.   This issue affects Apache Commons IO: from 2.0 before 2.14.0.  Users are recommended to upgrade to version 2.14.0 or later, which fixes the issue.",NVD,,,,MEDIUM,4.3,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:N/I:N/A:L/E:2.8/RC:R/MAV:A,,,,HIGH,118,,,,,,,,
commons-lang-2.6.jar,/home/runner/.m2/repository/commons-lang/commons-lang/2.6/commons-lang-2.6.jar,"Commons Lang, a package of Java utility classes for the         classes that are in java.lang's hierarchy, or are considered to be so         standard as to justify existence in java.lang.",http://www.apache.org/licenses/LICENSE-2.0.txt,4d5c1693079575b362edf41500630bbd,0ce1edb914c94ebc388f086c6827e8bdeec71ac2,pkg:maven/commons-lang/commons-lang@2.6,cpe:2.3:a:apache:commons_lang:2.6:*:*:*:*:*:*:*,CVE-2025-48924,CWE-674 Uncontrolled Recursion,"Uncontrolled Recursion vulnerability in Apache Commons Lang.  This issue affects Apache Commons Lang: Starting with commons-lang:commons-lang 2.0 to 2.6, and, from org.apache.commons:commons-lang3 3.0 before 3.18.0.  The methods ClassUtils.getClass(...) can throw StackOverflowError on very long inputs. Because an Error is usually not handled by applications and libraries, a  StackOverflowError could cause an application to stop.  Users are recommended to upgrade to version 3.18.0, which fixes the issue.  Sonatype's research suggests that this CVE's details differ from those defined at NVD. See https://ossindex.sonatype.org/vulnerability/CVE-2025-48924 for details",OSSINDEX,MEDIUM,6.900000095367432,CVSS:4.0/AV:N/AC:L/AT:N/PR:N/UI:N/VC:N/VI:N/VA:L/SC:N/SI:N/SA:N,,,,,,,HIGH,121,,,,,,,,
commons-lang3-3.8.1.jar,/home/runner/.m2/repository/org/apache/commons/commons-lang3/3.8.1/commons-lang3-3.8.1.jar,"Apache Commons Lang, a package of Java utility classes for the   classes that are in java.lang's hierarchy, or are considered to be so   standard as to justify existence in java.lang.",https://www.apache.org/licenses/LICENSE-2.0.txt,540b1256d887a6993ecbef23371a3302,6505a72a097d9270f7a9e7bf42c4238283247755,pkg:maven/org.apache.commons/commons-lang3@3.8.1,cpe:2.3:a:apache:commons_lang:3.8.1:*:*:*:*:*:*:*,CVE-2025-48924,CWE-674 Uncontrolled Recursion,"Uncontrolled Recursion vulnerability in Apache Commons Lang.  This issue affects Apache Commons Lang: Starting with commons-lang:commons-lang 2.0 to 2.6, and, from org.apache.commons:commons-lang3 3.0 before 3.18.0.  The methods ClassUtils.getClass(...) can throw StackOverflowError on very long inputs. Because an Error is usually not handled by applications and libraries, a  StackOverflowError could cause an application to stop.  Users are recommended to upgrade to version 3.18.0, which fixes the issue.",NVD,,,,MEDIUM,5.3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:L/E:3.9/RC:R/MAV:A,,,,HIGH,139,,,,,,,,
jsoup-1.12.1.jar,/home/runner/.m2/repository/org/jsoup/jsoup/1.12.1/jsoup-1.12.1.jar,"jsoup is a Java library for working with real-world HTML. It provides a very convenient API for extracting and manipulating data, using the best of DOM, CSS, and jquery-like methods. jsoup implements the WHATWG HTML5 specification, and parses HTML to the same DOM as modern browsers do.",The MIT License: https://jsoup.org/license,79bb9e9e8b50ef80a18bd46426befc5a,55819a28fc834c2f2bcf4dcdb278524dc3cf088f,pkg:maven/org.jsoup/jsoup@1.12.1,cpe:2.3:a:jsoup:jsoup:1.12.1:*:*:*:*:*:*:*,CVE-2021-37714,"CWE-248 Uncaught Exception, CWE-835 Loop with Unreachable Exit Condition ('Infinite Loop')","jsoup is a Java library for working with HTML. Those using jsoup versions prior to 1.14.2 to parse untrusted HTML or XML may be vulnerable to DOS attacks. If the parser is run on user supplied input, an attacker may supply content that causes the parser to get stuck (loop indefinitely until cancelled), to complete more slowly than usual, or to throw an unexpected exception. This effect may support a denial of service attack. The issue is patched in version 1.14.2. There are a few available workarounds. Users may rate limit input parsing, limit the size of inputs based on system resources, and/or implement thread watchdogs to cap and timeout parse runtimes.",NVD,MEDIUM,5.0,/AV:N/AC:L/Au:N/C:N/I:N/A:P,HIGH,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H/E:3.9/RC:R/MAV:A,,,,HIGH,34,,,,,,,,
jsoup-1.12.1.jar,/home/runner/.m2/repository/org/jsoup/jsoup/1.12.1/jsoup-1.12.1.jar,"jsoup is a Java library for working with real-world HTML. It provides a very convenient API for extracting and manipulating data, using the best of DOM, CSS, and jquery-like methods. jsoup implements the WHATWG HTML5 specification, and parses HTML to the same DOM as modern browsers do.",The MIT License: https://jsoup.org/license,79bb9e9e8b50ef80a18bd46426befc5a,55819a28fc834c2f2bcf4dcdb278524dc3cf088f,pkg:maven/org.jsoup/jsoup@1.12.1,cpe:2.3:a:jsoup:jsoup:1.12.1:*:*:*:*:*:*:*,CVE-2022-36033,"CWE-79 Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'), CWE-87 Improper Neutralization of Alternate XSS Syntax","jsoup is a Java HTML parser, built for HTML editing, cleaning, scraping, and cross-site scripting (XSS) safety. jsoup may incorrectly sanitize HTML including `javascript:` URL expressions, which could allow XSS attacks when a reader subsequently clicks that link. If the non-default `SafeList.preserveRelativeLinks` option is enabled, HTML including `javascript:` URLs that have been crafted with control characters will not be sanitized. If the site that this HTML is published on does not set a Content Security Policy, an XSS attack is then possible. This issue is patched in jsoup 1.15.3. Users should upgrade to this version. Additionally, as the unsanitized input may have been persisted, old content should be cleaned again using the updated version. To remediate this issue without immediately upgrading: - disable `SafeList.preserveRelativeLinks`, which will rewrite input URLs as absolute URLs - ensure an appropriate [Content Security Policy](https://developer.mozilla.org/en-US/docs/Web/HTTP/CSP) is defined. (This should be used regardless of upgrading, as a defence-in-depth best practice.)",NVD,,,,MEDIUM,6.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N/E:2.8/RC:R/MAV:A,,,,HIGH,34,,,,,,,,
malli-cli-2.1.2.jar,/home/runner/.m2/repository/com/github/piotr-yuxuan/malli-cli/2.1.2/malli-cli-2.1.2.jar,Configuration powertool with `metosin/malli`,European Union Public License 1.2 or later: https://joinup.ec.europa.eu/collection/eupl/eupl-text-eupl-12,4f615574c09a1351f174c08a6acf4a2f,5e77b2a8eecfdf64897bfc95d541ba01affb9130,pkg:maven/com.github.piotr-yuxuan/malli-cli@2.1.2,cpe:2.3:a:github:cli:2.1.2:*:*:*:*:*:*:*,CVE-2024-52308,CWE-77 Improper Neutralization of Special Elements used in a Command ('Command Injection'),"The GitHub CLI version 2.6.1 and earlier are vulnerable to remote code execution through a malicious codespace SSH server when using `gh codespace ssh` or `gh codespace logs` commands. This has been patched in the cli v2.62.0.  Developers connect to remote codespaces through an SSH server running within the devcontainer, which is generally provided through the [default devcontainer image]( https://docs.github.com/en/codespaces/setting-up-your-project-for-codespaces/adding-a-dev-container-... https://docs.github.com/en/codespaces/setting-up-your-project-for-codespaces/adding-a-dev-container-configuration/introduction-to-dev-containers#using-the-default-dev-container-configuration) . GitHub CLI [retrieves SSH connection details]( https://github.com/cli/cli/blob/30066b0042d0c5928d959e288144300cb28196c9/internal/codespaces/rpc/inv... https://github.com/cli/cli/blob/30066b0042d0c5928d959e288144300cb28196c9/internal/codespaces/rpc/invoker.go#L230-L244 ), such as remote username, which is used in [executing `ssh` commands]( https://github.com/cli/cli/blob/e356c69a6f0125cfaac782c35acf77314f18908d/pkg/cmd/codespace/ssh.go#L2... https://github.com/cli/cli/blob/e356c69a6f0125cfaac782c35acf77314f18908d/pkg/cmd/codespace/ssh.go#L263 ) for `gh codespace ssh` or `gh codespace logs` commands.  This exploit occurs when a malicious third-party devcontainer contains a modified SSH server that injects `ssh` arguments within the SSH connection details. `gh codespace ssh` and `gh codespace logs` commands could execute arbitrary code on the user's workstation if the remote username contains something like `-oProxyCommand=""echo hacked"" #`.  The `-oProxyCommand` flag causes `ssh` to execute the provided command while `#` shell comment causes any other `ssh` arguments to be ignored.  In `2.62.0`, the remote username information is being validated before being used.",NVD,,,,CRITICAL,9.6,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:H/I:H/A:H/E:2.8/RC:R/MAV:A,,,,HIGH,19,,,,,,,,
snakeyaml-1.25.jar,/home/runner/.m2/repository/org/yaml/snakeyaml/1.25/snakeyaml-1.25.jar,YAML 1.1 parser and emitter for Java,"Apache License, Version 2.0: http://www.apache.org/licenses/LICENSE-2.0.txt",6f7d5b8f596047aae07a3bf6f23a0bf2,8b6e01ef661d8378ae6dd7b511a7f2a33fae1421,pkg:maven/org.yaml/snakeyaml@1.25,cpe:2.3:a:snakeyaml_project:snakeyaml:1.25:*:*:*:*:*:*:*,CVE-2022-1471,"CWE-502 Deserialization of Untrusted Data, CWE-20 Improper Input Validation",SnakeYaml's Constructor() class does not restrict types which can be instantiated during deserialization. Deserializing yaml content provided by an attacker can lead to remote code execution. We recommend using SnakeYaml's SafeConsturctor when parsing untrusted content to restrict deserialization. We recommend upgrading to version 2.0 and beyond.,NVD,,,,CRITICAL,9.8,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H/E:3.9/RC:R/MAV:A,,,,HIGH,43,,,,,,,,
snakeyaml-1.25.jar,/home/runner/.m2/repository/org/yaml/snakeyaml/1.25/snakeyaml-1.25.jar,YAML 1.1 parser and emitter for Java,"Apache License, Version 2.0: http://www.apache.org/licenses/LICENSE-2.0.txt",6f7d5b8f596047aae07a3bf6f23a0bf2,8b6e01ef661d8378ae6dd7b511a7f2a33fae1421,pkg:maven/org.yaml/snakeyaml@1.25,cpe:2.3:a:snakeyaml_project:snakeyaml:1.25:*:*:*:*:*:*:*,CVE-2017-18640,CWE-776 Improper Restriction of Recursive Entity References in DTDs ('XML Entity Expansion'),"The Alias feature in SnakeYAML before 1.26 allows entity expansion during a load operation, a related issue to CVE-2003-1564.",NVD,MEDIUM,5.0,/AV:N/AC:L/Au:N/C:N/I:N/A:P,HIGH,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H/E:3.9/RC:R/MAV:A,,,,HIGH,43,,,,,,,,
snakeyaml-1.25.jar,/home/runner/.m2/repository/org/yaml/snakeyaml/1.25/snakeyaml-1.25.jar,YAML 1.1 parser and emitter for Java,"Apache License, Version 2.0: http://www.apache.org/licenses/LICENSE-2.0.txt",6f7d5b8f596047aae07a3bf6f23a0bf2,8b6e01ef661d8378ae6dd7b511a7f2a33fae1421,pkg:maven/org.yaml/snakeyaml@1.25,cpe:2.3:a:snakeyaml_project:snakeyaml:1.25:*:*:*:*:*:*:*,CVE-2022-25857,CWE-776 Improper Restriction of Recursive Entity References in DTDs ('XML Entity Expansion'),The package org.yaml:snakeyaml from 0 and before 1.31 are vulnerable to Denial of Service (DoS) due missing to nested depth limitation for collections.,NVD,,,,HIGH,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H/E:3.9/RC:R/MAV:A,,,,HIGH,43,,,,,,,,
snakeyaml-1.25.jar,/home/runner/.m2/repository/org/yaml/snakeyaml/1.25/snakeyaml-1.25.jar,YAML 1.1 parser and emitter for Java,"Apache License, Version 2.0: http://www.apache.org/licenses/LICENSE-2.0.txt",6f7d5b8f596047aae07a3bf6f23a0bf2,8b6e01ef661d8378ae6dd7b511a7f2a33fae1421,pkg:maven/org.yaml/snakeyaml@1.25,cpe:2.3:a:snakeyaml_project:snakeyaml:1.25:*:*:*:*:*:*:*,CVE-2022-38749,"CWE-787 Out-of-bounds Write, CWE-121 Stack-based Buffer Overflow","Using snakeYAML to parse untrusted YAML files may be vulnerable to Denial of Service attacks (DOS). If the parser is running on user supplied input, an attacker may supply content that causes the parser to crash by stackoverflow.",NVD,,,,MEDIUM,6.5,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H/E:2.8/RC:R/MAV:A,,,,HIGH,43,,,,,,,,
snakeyaml-1.25.jar,/home/runner/.m2/repository/org/yaml/snakeyaml/1.25/snakeyaml-1.25.jar,YAML 1.1 parser and emitter for Java,"Apache License, Version 2.0: http://www.apache.org/licenses/LICENSE-2.0.txt",6f7d5b8f596047aae07a3bf6f23a0bf2,8b6e01ef661d8378ae6dd7b511a7f2a33fae1421,pkg:maven/org.yaml/snakeyaml@1.25,cpe:2.3:a:snakeyaml_project:snakeyaml:1.25:*:*:*:*:*:*:*,CVE-2022-38751,"CWE-787 Out-of-bounds Write, CWE-121 Stack-based Buffer Overflow","Using snakeYAML to parse untrusted YAML files may be vulnerable to Denial of Service attacks (DOS). If the parser is running on user supplied input, an attacker may supply content that causes the parser to crash by stackoverflow.",NVD,,,,MEDIUM,6.5,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H/E:2.8/RC:R/MAV:A,,,,HIGH,43,,,,,,,,
snakeyaml-1.25.jar,/home/runner/.m2/repository/org/yaml/snakeyaml/1.25/snakeyaml-1.25.jar,YAML 1.1 parser and emitter for Java,"Apache License, Version 2.0: http://www.apache.org/licenses/LICENSE-2.0.txt",6f7d5b8f596047aae07a3bf6f23a0bf2,8b6e01ef661d8378ae6dd7b511a7f2a33fae1421,pkg:maven/org.yaml/snakeyaml@1.25,cpe:2.3:a:snakeyaml_project:snakeyaml:1.25:*:*:*:*:*:*:*,CVE-2022-38752,"CWE-787 Out-of-bounds Write, CWE-121 Stack-based Buffer Overflow","Using snakeYAML to parse untrusted YAML files may be vulnerable to Denial of Service attacks (DOS). If the parser is running on user supplied input, an attacker may supply content that causes the parser to crash by stack-overflow.",NVD,,,,MEDIUM,6.5,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H/E:2.8/RC:R/MAV:A,,,,HIGH,43,,,,,,,,
